,sentence_pair,alignment_type,source_sentence_ids,target_sentence_ids,source_ref,target_ref,source_pos,target_pos,source_case,target_case,pair_type,zero_pair_cost
586,245,one-to-one,dn_256,ngm_270,Ippolitas-brother-in-laws-friends,Ippolitas-brother-in-laws-friends,PRON,NOUN,obj,obj,explicit_ref_case,
587,246,many-to-one,dn_257 dn_258,ngm_271,Giorgio,Giorgio,PRON,PRON,obj,obj,explicit_full,
588,246,many-to-one,dn_257 dn_258,ngm_271,Giorgio,Giorgio,DET,PRON,nmod,nmod,explicit_ref_case,
589,246,many-to-one,dn_257 dn_258,ngm_271,Giorgio,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
590,246,many-to-one,dn_257 dn_258,ngm_271,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
591,246,many-to-one,dn_257 dn_258,ngm_271,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
592,246,many-to-one,dn_257 dn_258,ngm_271,Ippolita,Ippolita,NOUN,NOUN,nsubj,nsubj,explicit_full,
593,246,many-to-one,dn_257 dn_258,ngm_271,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
594,246,many-to-one,dn_257 dn_258,ngm_271,Ippolita,Ippolita,PRON,NULL,nsubj,nsubj,zero_to_src_anchor,
595,246,many-to-one,dn_257 dn_258,ngm_271,Ippolitas-brother-in-laws-friends,Ippolitas-brother-in-laws-friends,NOUN,NOUN,obj,nmod,explicit_ref_pos,
596,246,many-to-one,dn_257 dn_258,ngm_271,MISSING,Ippolitas-brother-in-laws-friends,MISSING,PRON,MISSING,nmod,leftover_target,
597,247,one-to-one,dn_259,ngm_272,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
598,248,one-to-one,dn_260,ngm_273,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
599,249,one-to-one,dn_261,ngm_274,Ippolita,Ippolita,PRON,PRON,nsubj,nmod,explicit_ref_pos,
600,249,one-to-one,dn_261,ngm_274,Ippolita,Ippolita,PRON,NULL,nsubj,nsubj,zero_to_src_anchor,
601,249,one-to-one,dn_261,ngm_274,Ippolitas-brother-in-laws-friends,Ippolitas-brother-in-laws-friends,NOUN,NOUN,obj,obj,explicit_full,
602,251,one-to-one,dn_263,ngm_276,Giorgio,Giorgio,NOUN,NOUN,nsubj,nsubj,explicit_full,
603,252,one-to-many,dn_264,ngm_277 ngm_278,Giorgio,Giorgio,PRON,PRON,obj,obj,explicit_full,
604,252,one-to-many,dn_264,ngm_277 ngm_278,Ippolita,Ippolita,PRON,PRON,obj,obj,explicit_full,
605,252,one-to-many,dn_264,ngm_277 ngm_278,Ippolitas-brother-in-laws-friends,Ippolitas-brother-in-laws-friends,NULL,NULL,nsubj,nsubj,zero_zero_single,
606,252,one-to-many,dn_264,ngm_277 ngm_278,MISSING,Ippolitas-brother-in-laws-friends,MISSING,NOUN,MISSING,nsubj,leftover_target,
607,253,one-to-one,dn_265,ngm_279,Giorgio,MISSING,PRON,MISSING,nsubj,MISSING,leftover_source,
608,253,one-to-one,dn_265,ngm_279,Ippolita,Ippolita,PRON,PRON,obj,obj,explicit_full,
609,253,one-to-one,dn_265,ngm_279,Ippolita,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
610,253,one-to-one,dn_265,ngm_279,Ippolitas-brother-in-laws-friends,Ippolitas-brother-in-laws-friends,NOUN,NOUN,nsubj,nsubj,explicit_full,
611,253,one-to-one,dn_265,ngm_279,MISSING,Ippolitas-brother-in-laws-friends,MISSING,NULL,MISSING,nsubj,leftover_target,
612,254,one-to-many,dn_266,ngm_280 ngm_281,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
613,254,one-to-many,dn_266,ngm_280 ngm_281,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.28785106876029676
614,254,one-to-many,dn_266,ngm_280 ngm_281,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
615,254,one-to-many,dn_266,ngm_280 ngm_281,MISSING,Ippolita,MISSING,PRON,MISSING,nsubj,leftover_target,
616,254,one-to-many,dn_266,ngm_280 ngm_281,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
617,254,one-to-many,dn_266,ngm_280 ngm_281,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
618,255,one-to-one,dn_267,ngm_282,Ippolita,Ippolita,PRON,PRON,nsubj,obj,explicit_ref_pos,
619,255,one-to-one,dn_267,ngm_282,Ippolitas-brother-in-laws-friends,Ippolitas-brother-in-laws-friends,NOUN,NOUN,obj,nmod,explicit_ref_pos,
620,255,one-to-one,dn_267,ngm_282,MISSING,Ippolitas-brother-in-laws-friends,MISSING,NOUN,MISSING,nsubj,leftover_target,
621,260,one-to-one,dn_272,ngm_290,Giorgio,Giorgio,PRON,PRON,obj,nmod,explicit_ref_pos,
622,260,one-to-one,dn_272,ngm_290,Ippolita,Ippolita,PRON,NOUN,obj,obj,explicit_ref_case,
623,261,one-to-one,dn_273,ngm_291,Giorgio,Giorgio,DET,PRON,nmod,nmod,explicit_ref_case,
624,262,one-to-many,dn_274,ngm_292 ngm_293,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
625,262,one-to-many,dn_274,ngm_292 ngm_293,Giorgio,Giorgio,DET,PRON,nmod,nmod,explicit_ref_case,
626,263,one-to-many,dn_275,ngm_294 ngm_295,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
627,263,one-to-many,dn_275,ngm_294 ngm_295,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.15103175065481347
628,263,one-to-many,dn_275,ngm_294 ngm_295,Giorgio,Giorgio,PRON,NULL,nsubj,nsubj,zero_to_src_anchor,
629,263,one-to-many,dn_275,ngm_294 ngm_295,Ippolita,Ippolita,PROPN,PROPN,obj,obj,explicit_full,
630,264,one-to-many,dn_276,ngm_296 ngm_297,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
631,264,one-to-many,dn_276,ngm_296 ngm_297,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.5975697676898265
632,264,one-to-many,dn_276,ngm_296 ngm_297,Giorgio,Giorgio,NULL,PRON,nsubj,nsubj,zero_to_tgt_anchor,
633,264,one-to-many,dn_276,ngm_296 ngm_297,Ippolita,Ippolita,PRON,PRON,obj,obj,explicit_full,
634,264,one-to-many,dn_276,ngm_296 ngm_297,Ippolita,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
635,265,one-to-many,dn_277,ngm_298 ngm_299,Giorgio,Giorgio,PRON,PRON,nsubj,nmod,explicit_ref_pos,
636,265,one-to-many,dn_277,ngm_298 ngm_299,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.7216457164002488
637,265,one-to-many,dn_277,ngm_298 ngm_299,Giorgio,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
638,265,one-to-many,dn_277,ngm_298 ngm_299,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
639,265,one-to-many,dn_277,ngm_298 ngm_299,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
640,266,one-to-one,dn_278,ngm_300,Giorgio,Giorgio,PRON,NULL,nsubj,nsubj,zero_to_src_anchor,
641,266,one-to-one,dn_278,ngm_300,Giorgio,MISSING,DET,MISSING,nmod,MISSING,leftover_source,
642,266,one-to-one,dn_278,ngm_300,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
643,266,one-to-one,dn_278,ngm_300,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
644,269,one-to-one,dn_281,ngm_303,Giorgio,Giorgio,DET,PRON,nmod,nmod,explicit_ref_case,
645,270,one-to-one,dn_282,ngm_304,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
646,270,one-to-one,dn_282,ngm_304,Giorgio,Giorgio,DET,PRON,nmod,nmod,explicit_ref_case,
647,270,one-to-one,dn_282,ngm_304,Giorgio,MISSING,DET,MISSING,nmod,MISSING,leftover_source,
648,270,one-to-one,dn_282,ngm_304,Ippolita,Ippolita,PROPN,PROPN,obj,obj,explicit_full,
649,271,one-to-one,dn_283,ngm_305,MISSING,Giorgio,MISSING,PRON,MISSING,nsubj,leftover_target,
650,271,one-to-one,dn_283,ngm_305,Ippolita,Ippolita,PRON,PROPN,nsubj,nsubj,explicit_ref_case,
651,271,one-to-one,dn_283,ngm_305,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
652,271,one-to-one,dn_283,ngm_305,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
653,272,one-to-one,dn_284,ngm_306,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
654,272,one-to-one,dn_284,ngm_306,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
655,272,one-to-one,dn_284,ngm_306,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.15387282611300412
656,272,one-to-one,dn_284,ngm_306,Giorgio,Giorgio,PRON,NULL,nsubj,nsubj,zero_to_src_anchor,
657,272,one-to-one,dn_284,ngm_306,Giorgio,MISSING,DET,MISSING,nmod,MISSING,leftover_source,
658,272,one-to-one,dn_284,ngm_306,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
659,272,one-to-one,dn_284,ngm_306,Ippolita,Ippolita,PRON,PRON,obj,nmod,explicit_ref_pos,
660,272,one-to-one,dn_284,ngm_306,Ippolita,Ippolita,PRON,PRON,obj,nsubj,explicit_ref_pos,
661,272,one-to-one,dn_284,ngm_306,Ippolita,MISSING,NOUN,MISSING,obj,MISSING,leftover_source,
662,273,one-to-many,dn_285,ngm_307 ngm_308,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
663,273,one-to-many,dn_285,ngm_307 ngm_308,Giorgio,Giorgio,DET,PRON,nmod,nmod,explicit_ref_case,
664,273,one-to-many,dn_285,ngm_307 ngm_308,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
665,273,one-to-many,dn_285,ngm_307 ngm_308,Ippolita,Ippolita,NOUN,NOUN,nmod,nmod,explicit_full,
666,274,one-to-one,dn_286,ngm_309,Giorgio,Giorgio,PRON,PRON,obj,nmod,explicit_ref_pos,
667,276,one-to-one,dn_288,ngm_311,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
668,276,one-to-one,dn_288,ngm_311,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
669,276,one-to-one,dn_288,ngm_311,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
670,276,one-to-one,dn_288,ngm_311,Ippolita,Ippolita,PRON,PRON,nmod,nmod,explicit_full,
671,276,one-to-one,dn_288,ngm_311,Ippolita,MISSING,PRON,MISSING,nsubj,MISSING,leftover_source,
672,276,one-to-one,dn_288,ngm_311,Ippolita,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
673,276,one-to-one,dn_288,ngm_311,Ippolita,MISSING,DET,MISSING,nmod,MISSING,leftover_source,
674,277,one-to-one,dn_289,ngm_312,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
675,278,one-to-one,dn_290,ngm_314,Giorgio,Giorgio,PRON,PRON,obj,obj,explicit_full,
676,278,one-to-one,dn_290,ngm_314,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
677,279,many-to-one,dn_291 dn_292,ngm_313,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.2586493403751613
678,279,many-to-one,dn_291 dn_292,ngm_313,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.21600823594636215
679,280,one-to-one,dn_293,ngm_315,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
680,281,one-to-one,dn_294,ngm_316,Ippolita,Ippolita,PRON,PRON,obj,nmod,explicit_ref_pos,
681,284,many-to-one,dn_297 dn_298,ngm_319,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
682,284,many-to-one,dn_297 dn_298,ngm_319,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
683,285,one-to-one,dn_299,ngm_320,Giorgio,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
684,285,one-to-one,dn_299,ngm_320,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
685,286,one-to-one,dn_300,ngm_321,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
686,287,one-to-one,dn_301,ngm_322,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_single,
687,288,many-to-one,dn_302 dn_303,ngm_323,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.36539620282919016
688,288,many-to-one,dn_302 dn_303,ngm_323,Giorgio Ippolita,Giorgio Ippolita,NULL,NOUN,nsubj,nsubj,zero_to_tgt_anchor,
689,288,many-to-one,dn_302 dn_303,ngm_323,Giorgio Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
690,288,many-to-one,dn_302 dn_303,ngm_323,Giorgio Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
691,288,many-to-one,dn_302 dn_303,ngm_323,Giorgio Ippolita,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
692,289,one-to-one,dn_304,ngm_324,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
693,290,one-to-many,dn_305,ngm_325 ngm_326,Giorgio,Giorgio,NOUN,PRON,vocative,vocative,explicit_ref_case,
694,290,one-to-many,dn_305,ngm_325 ngm_326,Ippolita,MISSING,DET,MISSING,nmod,MISSING,leftover_source,
695,291,one-to-one,dn_306,ngm_327,Ippolita,Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.3837787889966778
696,291,one-to-one,dn_306,ngm_327,Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
697,291,one-to-one,dn_306,ngm_327,MISSING,Ippolita,MISSING,PRON,MISSING,nsubj,leftover_target,
698,291,one-to-one,dn_306,ngm_327,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
699,295,one-to-one,dn_310,ngm_331,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_single,
700,296,one-to-one,dn_311,ngm_332,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
701,297,one-to-one,dn_312,ngm_333,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_single,
702,298,one-to-one,dn_313,ngm_334,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
703,299,one-to-one,dn_314,ngm_335,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.5011338340085849
704,299,one-to-one,dn_314,ngm_335,Giorgio,Giorgio,PRON,NULL,nsubj,nsubj,zero_to_src_anchor,
705,300,one-to-one,dn_315,ngm_336,Giorgio,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
706,300,one-to-one,dn_315,ngm_336,Giorgio Ippolita,Giorgio Ippolita,PRON,NOUN,obj,nsubj,explicit_ref_only,
707,300,one-to-one,dn_315,ngm_336,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.11956276093772003
708,300,one-to-one,dn_315,ngm_336,Giorgio Ippolita,Giorgio Ippolita,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.24404220915691424
709,300,one-to-one,dn_315,ngm_336,MISSING,Giorgio Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
710,300,one-to-one,dn_315,ngm_336,MISSING,Giorgio Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
711,300,one-to-one,dn_315,ngm_336,Ippolita,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
712,301,one-to-one,dn_316,ngm_337,Giorgio Ippolita,Giorgio Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
713,301,one-to-one,dn_316,ngm_337,Giorgio Ippolita,Giorgio Ippolita,DET,PRON,nmod,nmod,explicit_ref_case,
714,302,one-to-one,dn_317,ngm_338,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
715,302,one-to-one,dn_317,ngm_338,Giorgio,Giorgio,PRON,PRON,obj,nmod,explicit_ref_pos,
716,302,one-to-one,dn_317,ngm_338,Ippolita,Ippolita,NULL,PRON,nsubj,nsubj,zero_to_tgt_anchor,
717,303,one-to-one,dn_318,ngm_339,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
718,304,one-to-one,dn_319,ngm_340,Giorgio,Giorgio,NOUN,NOUN,nsubj,nsubj,explicit_full,
719,304,one-to-one,dn_319,ngm_340,Giorgio,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
720,304,one-to-one,dn_319,ngm_340,Giorgio,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
721,304,one-to-one,dn_319,ngm_340,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
722,304,one-to-one,dn_319,ngm_340,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
723,304,one-to-one,dn_319,ngm_340,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
724,304,one-to-one,dn_319,ngm_340,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
725,304,one-to-one,dn_319,ngm_340,MISSING,Ippolita,MISSING,PRON,MISSING,nmod,leftover_target,
726,306,one-to-one,dn_321,ngm_342,Giorgio,Giorgio,PRON,PRON,obj,nmod,explicit_ref_pos,
727,307,one-to-one,dn_322,ngm_343,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
728,307,one-to-one,dn_322,ngm_343,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.5509752303400101
729,307,one-to-one,dn_322,ngm_343,Giorgio,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
730,307,one-to-one,dn_322,ngm_343,Ippolita,Ippolita,PRON,NOUN,obj,obj,explicit_ref_case,
731,308,one-to-many,dn_323,ngm_344 ngm_345,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
732,308,one-to-many,dn_323,ngm_344 ngm_345,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.7091067607602859
733,308,one-to-many,dn_323,ngm_344 ngm_345,MISSING,Giorgio,MISSING,PRON,MISSING,obj,leftover_target,
734,308,one-to-many,dn_323,ngm_344 ngm_345,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
735,308,one-to-many,dn_323,ngm_344 ngm_345,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
736,308,one-to-many,dn_323,ngm_344 ngm_345,MISSING,Giorgio,MISSING,PRON,MISSING,obj,leftover_target,
737,309,one-to-one,dn_324,ngm_346,Giorgio,Giorgio,PRON,PRON,obj,nsubj,explicit_ref_pos,
738,309,one-to-one,dn_324,ngm_346,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_single,
739,310,one-to-many,dn_325,ngm_347 ngm_348,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
740,310,one-to-many,dn_325,ngm_347 ngm_348,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.4406356628864042
741,310,one-to-many,dn_325,ngm_347 ngm_348,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
742,310,one-to-many,dn_325,ngm_347 ngm_348,Ippolita,Ippolita,PRON,NOUN,obj,nmod,explicit_ref_only,
743,311,one-to-one,dn_326,ngm_349,Giorgio,Giorgio,PRON,PRON,obj,obj,explicit_full,
744,311,one-to-one,dn_326,ngm_349,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_single,
745,311,one-to-one,dn_326,ngm_349,MISSING,Giorgio,MISSING,PRON,MISSING,nsubj,leftover_target,
746,312,one-to-one,dn_327,ngm_350,Giorgio,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
747,313,one-to-one,dn_328,ngm_351,Giorgio,Giorgio,PROPN,PROPN,vocative,vocative,explicit_full,
748,314,one-to-one,dn_329,ngm_352,Giorgio,Giorgio,PRON,PRON,obj,nmod,explicit_ref_pos,
749,314,one-to-one,dn_329,ngm_352,Ippolita,Ippolita,PROPN,PROPN,nsubj,nsubj,explicit_full,
750,314,one-to-one,dn_329,ngm_352,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
751,314,one-to-one,dn_329,ngm_352,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
752,315,one-to-one,dn_330,ngm_353,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
753,316,one-to-many,dn_331,ngm_354 ngm_355,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.2476762623763552
754,316,one-to-many,dn_331,ngm_354 ngm_355,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.8019424579446595
755,316,one-to-many,dn_331,ngm_354 ngm_355,MISSING,Giorgio,MISSING,PRON,MISSING,nsubj,leftover_target,
756,316,one-to-many,dn_331,ngm_354 ngm_355,Giorgio Ippolita,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
757,316,one-to-many,dn_331,ngm_354 ngm_355,Giorgio Ippolita,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
758,316,one-to-many,dn_331,ngm_354 ngm_355,suicidal-man,suicidal-man,NOUN,NOUN,nmod,nmod,explicit_full,
759,317,one-to-one,dn_332,ngm_356,Ippolita,Ippolita,NULL,PRON,nsubj,nsubj,zero_to_tgt_anchor,
760,318,one-to-one,dn_333,ngm_357,Giorgio,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
761,318,one-to-one,dn_333,ngm_357,Ippolita,Ippolita,PRON,PRON,nsubj,nsubj,explicit_full,
762,318,one-to-one,dn_333,ngm_357,MISSING,Ippolita,MISSING,NULL,MISSING,nsubj,leftover_target,
763,320,one-to-one,dn_335,ngm_359,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
764,320,one-to-one,dn_335,ngm_359,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.3915252124821698
765,320,one-to-one,dn_335,ngm_359,Giorgio,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
766,320,one-to-one,dn_335,ngm_359,Giorgio,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
767,320,one-to-one,dn_335,ngm_359,Giorgio,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
768,320,one-to-one,dn_335,ngm_359,Giorgio,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
769,320,one-to-one,dn_335,ngm_359,Ippolita,Ippolita,PRON,DET,obj,nmod,explicit_ref_only,
770,321,one-to-many,dn_336,ngm_360 ngm_361,Giorgio,MISSING,PRON,MISSING,nsubj,MISSING,leftover_source,
771,321,one-to-many,dn_336,ngm_360 ngm_361,Giorgio,MISSING,NULL,MISSING,nsubj,MISSING,leftover_source,
772,322,one-to-one,dn_337,ngm_362,suicidal-man,suicidal-man,NOUN,NOUN,nmod,nmod,explicit_full,
773,323,one-to-one,dn_338,ngm_363,suicidal-man,suicidal-man,NOUN,NOUN,obj,nmod,explicit_ref_pos,
774,324,one-to-one,dn_339,ngm_364,suicidal-man,suicidal-man,PRON,PRON,nsubj,nsubj,explicit_full,
775,325,one-to-one,dn_340,ngm_365,suicidal-man,suicidal-man,NULL,NULL,nsubj,nsubj,zero_zero_single,
776,325,one-to-one,dn_340,ngm_365,suicidal-man,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
777,326,one-to-one,dn_341,ngm_366,Giorgio,Giorgio,PRON,PRON,obj,nmod,explicit_ref_pos,
778,326,one-to-one,dn_341,ngm_366,Giorgio,Giorgio,NULL,PROPN,nsubj,nsubj,zero_to_tgt_anchor,
779,327,one-to-one,dn_342,ngm_367,Giorgio,MISSING,PRON,MISSING,obj,MISSING,leftover_source,
780,328,one-to-many,dn_343,ngm_368 ngm_369,Demetrio,Demetrio,PROPN,PROPN,obj,nmod,explicit_ref_pos,
781,328,one-to-many,dn_343,ngm_368 ngm_369,MISSING,Demetrio,MISSING,PRON,MISSING,nsubj,leftover_target,
782,328,one-to-many,dn_343,ngm_368 ngm_369,MISSING,Demetrio,MISSING,NULL,MISSING,nsubj,leftover_target,
783,328,one-to-many,dn_343,ngm_368 ngm_369,Giorgio,Giorgio,DET,PRON,nmod,nsubj,explicit_ref_only,
784,328,one-to-many,dn_343,ngm_368 ngm_369,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_single,
785,328,one-to-many,dn_343,ngm_368 ngm_369,Giorgio,MISSING,DET,MISSING,nmod,MISSING,leftover_source,
786,328,one-to-many,dn_343,ngm_368 ngm_369,Giorgios-father,Giorgios-father,NOUN,NOUN,nmod,nmod,explicit_full,
787,330,many-to-one,dn_345 dn_346 dn_347,ngm_373,Giorgio,Giorgio,PRON,PRON,nsubj,nsubj,explicit_full,
788,330,many-to-one,dn_345 dn_346 dn_347,ngm_373,Giorgio,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
789,330,many-to-one,dn_345 dn_346 dn_347,ngm_373,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
790,330,many-to-one,dn_345 dn_346 dn_347,ngm_373,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
791,331,one-to-one,dn_348,ngm_374,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.2520464499448908
792,331,one-to-one,dn_348,ngm_374,Giorgio,Giorgio,NULL,PRON,nsubj,nsubj,zero_to_tgt_anchor,
793,332,one-to-one,dn_349,ngm_375,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_single,
794,333,one-to-one,dn_350,ngm_376,Giorgio,Giorgio,PRON,PRON,obj,nsubj,explicit_ref_pos,
795,334,one-to-one,dn_351,ngm_377,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
796,334,one-to-one,dn_351,ngm_377,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
797,334,one-to-one,dn_351,ngm_377,MISSING,Giorgio,MISSING,NULL,MISSING,nsubj,leftover_target,
798,335,one-to-one,dn_352,ngm_378,Giorgio,Giorgio,PRON,PRON,obj,nmod,explicit_ref_pos,
799,336,one-to-many,dn_353,ngm_379 ngm_380,Giorgio,Giorgio,PRON,PRON,obj,nsubj,explicit_ref_pos,
800,336,one-to-many,dn_353,ngm_379 ngm_380,Giorgio,Giorgio,PRON,PRON,obj,nmod,explicit_ref_pos,
801,336,one-to-many,dn_353,ngm_379 ngm_380,Giorgio,Giorgio,NULL,NULL,nsubj,nsubj,zero_zero_semantic,0.23339402257171396
802,336,one-to-many,dn_353,ngm_379 ngm_380,Giorgio,Giorgio,NULL,PRON,nsubj,nsubj,zero_to_tgt_anchor,
803,336,one-to-many,dn_353,ngm_379 ngm_380,Giorgio,MISSING,PRON-REFLEX,MISSING,obj,MISSING,leftover_source,
